Time,Frame,Error,Motor_L,Motor_R,Odom_L,Odom_R
0.0320,1,0.0875,3.22,2.78,72.333,68.045
0.0640,2,0.0844,3.21,2.79,72.335,68.047
0.0960,3,0.0813,3.20,2.80,72.337,68.048
0.1280,4,0.0828,3.21,2.79,72.339,68.050
0.1600,5,0.0844,3.21,2.79,72.341,68.052
0.1920,6,0.0828,3.21,2.79,72.343,68.054
0.2240,7,0.0828,3.21,2.79,72.345,68.056
0.2560,8,0.0828,3.21,2.79,72.348,68.057
0.2880,9,0.0828,3.21,2.79,72.350,68.059
0.3200,10,0.0813,3.20,2.80,72.352,68.061
0.3520,11,0.0781,3.20,2.80,72.354,68.063
0.3840,12,0.0719,3.18,2.82,72.356,68.065
0.4160,13,0.0656,3.16,2.84,72.358,68.066
0.4480,14,0.0578,3.14,2.86,72.360,68.068
0.4800,15,0.0469,3.12,2.88,72.362,68.070
0.5120,16,0.0359,3.09,2.91,72.364,68.072
0.5440,17,0.0266,3.07,2.93,72.366,68.074
0.5760,18,0.0156,3.04,2.96,72.368,68.076
0.6080,19,0.0047,3.01,2.99,72.370,68.077
0.6400,20,-0.0031,2.99,3.01,72.372,68.079
0.6720,21,-0.0094,2.98,3.02,72.373,68.081
0.7040,22,-0.0156,2.96,3.04,72.375,68.083
0.7360,23,-0.0203,2.95,3.05,72.377,68.085
0.7680,24,-0.0219,2.95,3.05,72.379,68.087
0.8000,25,-0.0219,2.95,3.05,72.381,68.089
0.8320,26,-0.0219,2.95,3.05,72.383,68.091
0.8640,27,-0.0219,2.95,3.05,72.385,68.093
0.8960,28,-0.0203,2.95,3.05,72.387,68.095
0.9280,29,-0.0187,2.95,3.05,72.389,68.097
0.9600,30,-0.0172,2.96,3.04,72.391,68.099
0.9920,31,-0.0156,2.96,3.04,72.392,68.101
1.0240,32,-0.0156,2.96,3.04,72.394,68.103
1.0560,33,-0.0141,2.96,3.04,72.396,68.105
1.0880,34,-0.0141,2.96,3.04,72.398,68.107
1.1200,35,-0.0172,2.96,3.04,72.400,68.109
1.1520,36,-0.0172,2.96,3.04,72.402,68.110
1.1840,37,-0.0141,2.96,3.04,72.404,68.113
1.2160,38,-0.0125,2.97,3.03,72.406,68.114
1.2480,39,-0.0109,2.97,3.03,72.408,68.116
1.2800,40,-0.0078,2.98,3.02,72.410,68.118
1.3120,41,-0.0047,2.99,3.01,72.411,68.120
1.3440,42,-0.0016,3.00,3.00,72.413,68.122
1.3760,43,0.0031,3.01,2.99,72.415,68.124
1.4080,44,0.0063,3.02,2.98,72.417,68.126
1.4400,45,0.0125,3.03,2.97,72.419,68.128
1.4720,46,0.0172,3.04,2.96,72.421,68.130
1.5040,47,0.0219,3.05,2.95,72.423,68.132
1.5360,48,0.0266,3.07,2.93,72.425,68.133
1.5680,49,0.0297,3.07,2.93,72.427,68.135
1.6000,50,0.0312,3.08,2.92,72.429,68.137
1.6320,51,0.0297,3.07,2.93,72.431,68.139
1.6640,52,0.0266,3.07,2.93,72.433,68.141
1.6960,53,0.0234,3.06,2.94,72.435,68.143
1.7280,54,0.0203,3.05,2.95,72.437,68.145
1.7600,55,0.0172,3.04,2.96,72.439,68.147
1.7920,56,0.0156,3.04,2.96,72.441,68.149
1.8240,57,0.0172,3.04,2.96,72.443,68.150
1.8560,58,0.0203,3.05,2.95,72.444,68.152
1.8880,59,0.0234,3.06,2.94,72.446,68.154
1.9200,60,0.0281,3.07,2.93,72.448,68.156
1.9520,61,0.0328,3.08,2.92,72.450,68.158
1.9840,62,0.0375,3.09,2.91,72.452,68.160
2.0160,63,0.0422,3.11,2.89,72.454,68.162
2.0480,64,0.0469,3.12,2.88,72.456,68.163
2.0800,65,0.0531,3.13,2.87,72.458,68.165
2.1120,66,0.0563,3.14,2.86,72.460,68.167
2.1440,67,0.0594,3.15,2.85,72.462,68.169
2.1760,68,0.0625,3.16,2.84,72.464,68.171
2.2080,69,0.0672,3.17,2.83,72.466,68.173
2.2400,70,0.0703,3.18,2.82,72.468,68.175
2.2720,71,0.0750,3.19,2.81,72.470,68.176
2.3040,72,0.0797,3.20,2.80,72.472,68.178
2.3360,73,0.0844,3.21,2.79,72.474,68.180
2.3680,74,0.0875,3.22,2.78,72.476,68.182
2.4000,75,0.0906,3.23,2.77,72.479,68.183
2.4320,76,0.0922,3.23,2.77,72.481,68.185
2.4640,77,0.0938,3.23,2.77,72.483,68.187
2.4960,78,0.0953,3.24,2.76,72.485,68.189
2.5280,79,0.0969,3.24,2.76,72.487,68.191
2.5600,80,0.0984,3.25,2.75,72.489,68.192
2.5920,81,0.0984,3.25,2.75,72.491,68.194
2.6240,82,0.1000,3.25,2.75,72.493,68.196
2.6560,83,0.1016,3.25,2.75,72.495,68.198
2.6880,84,0.1000,3.25,2.75,72.497,68.199
2.7200,85,0.1000,3.25,2.75,72.499,68.201
2.7520,86,0.0969,3.24,2.76,72.501,68.203
2.7840,87,0.0922,3.23,2.77,72.503,68.205
2.8160,88,0.0859,3.21,2.79,72.505,68.206
2.8480,89,0.0797,3.20,2.80,72.507,68.208
2.8800,90,0.0734,3.18,2.82,72.510,68.210
2.9120,91,0.0688,3.17,2.83,72.512,68.212
2.9440,92,0.0641,3.16,2.84,72.514,68.214
2.9760,93,0.0641,3.16,2.84,72.516,68.215
