Time,Frame,Error,Motor_L,Motor_R,Odom_L,Odom_R
0.0320,1,-0.1234,2.69,3.31,72.518,68.217
0.0640,2,-0.1281,2.68,3.32,72.519,68.219
0.0960,3,-0.1266,2.68,3.32,72.521,68.222
0.1280,4,-0.1297,2.68,3.32,72.523,68.224
0.1600,5,-0.1297,2.68,3.32,72.525,68.226
0.1920,6,-0.1281,2.68,3.32,72.526,68.228
0.2240,7,-0.1281,2.68,3.32,72.528,68.230
0.2560,8,-0.1297,2.68,3.32,72.530,68.232
0.2880,9,-0.1313,2.67,3.33,72.531,68.234
0.3200,10,-0.1297,2.68,3.32,72.533,68.236
0.3520,11,-0.1297,2.68,3.32,72.535,68.238
0.3840,12,-0.1266,2.68,3.32,72.537,68.241
0.4160,13,-0.1266,2.68,3.32,72.538,68.243
0.4480,14,-0.1234,2.69,3.31,72.540,68.245
0.4800,15,-0.1203,2.70,3.30,72.542,68.247
0.5120,16,-0.1156,2.71,3.29,72.543,68.249
0.5440,17,-0.1125,2.72,3.28,72.545,68.251
0.5760,18,-0.1062,2.73,3.27,72.547,68.253
0.6080,19,-0.1047,2.74,3.26,72.549,68.255
0.6400,20,-0.1047,2.74,3.26,72.550,68.257
0.6720,21,-0.1078,2.73,3.27,72.552,68.259
0.7040,22,-0.1078,2.73,3.27,72.554,68.262
0.7360,23,-0.1078,2.73,3.27,72.556,68.264
0.7680,24,-0.1094,2.73,3.27,72.557,68.266
0.8000,25,-0.1125,2.72,3.28,72.559,68.268
0.8320,26,-0.1141,2.71,3.29,72.561,68.270
0.8640,27,-0.1125,2.72,3.28,72.563,68.272
0.8960,28,-0.1109,2.72,3.28,72.564,68.274
0.9280,29,-0.1109,2.72,3.28,72.566,68.276
0.9600,30,-0.1094,2.73,3.27,72.568,68.278
0.9920,31,-0.1062,2.73,3.27,72.570,68.280
1.0240,32,-0.1031,2.74,3.26,72.571,68.283
1.0560,33,-0.1016,2.75,3.25,72.573,68.285
1.0880,34,-0.1000,2.75,3.25,72.575,68.287
1.1200,35,-0.0984,2.75,3.25,72.577,68.289
1.1520,36,-0.0969,2.76,3.24,72.578,68.291
1.1840,37,-0.0969,2.76,3.24,72.580,68.293
1.2160,38,-0.0938,2.77,3.23,72.582,68.295
1.2480,39,-0.0922,2.77,3.23,72.584,68.297
1.2800,40,-0.0922,2.77,3.23,72.585,68.299
1.3120,41,-0.1000,2.75,3.25,72.587,68.301
1.3440,42,-0.1047,2.74,3.26,72.589,68.303
1.3760,43,-0.1094,2.73,3.27,72.591,68.305
1.4080,44,-0.1078,2.73,3.27,72.592,68.307
1.4400,45,-0.1078,2.73,3.27,72.594,68.310
1.4720,46,-0.1094,2.73,3.27,72.596,68.312
1.5040,47,-0.1109,2.72,3.28,72.598,68.314
1.5360,48,-0.1125,2.72,3.28,72.599,68.316
1.5680,49,-0.1125,2.72,3.28,72.601,68.318
1.6000,50,-0.1109,2.72,3.28,72.603,68.320
1.6320,51,-0.1062,2.73,3.27,72.605,68.322
1.6640,52,-0.0984,2.75,3.25,72.606,68.324
1.6960,53,-0.0969,2.76,3.24,72.608,68.326
1.7280,54,-0.0969,2.76,3.24,72.610,68.328
1.7600,55,-0.0969,2.76,3.24,72.612,68.330
1.7920,56,-0.0969,2.76,3.24,72.614,68.333
1.8240,57,-0.0969,2.76,3.24,72.615,68.335
1.8560,58,-0.0938,2.77,3.23,72.617,68.337
1.8880,59,-0.0922,2.77,3.23,72.619,68.339
1.9200,60,-0.0891,2.78,3.22,72.621,68.341
1.9520,61,-0.0891,2.78,3.22,72.622,68.343
1.9840,62,-0.0828,2.79,3.21,72.624,68.345
2.0160,63,-0.0828,2.79,3.21,72.626,68.347
2.0480,64,-0.0828,2.79,3.21,72.628,68.349
2.0800,65,-0.0859,2.79,3.21,72.629,68.351
2.1120,66,-0.0859,2.79,3.21,72.631,68.353
2.1440,67,-0.0891,2.78,3.22,72.633,68.355
2.1760,68,-0.0906,2.77,3.23,72.635,68.357
2.2080,69,-0.0953,2.76,3.24,72.636,68.359
2.2400,70,-0.0984,2.75,3.25,72.638,68.361
2.2720,71,-0.1000,2.75,3.25,72.640,68.363
2.3040,72,-0.0984,2.75,3.25,72.642,68.365
2.3360,73,-0.0984,2.75,3.25,72.644,68.368
2.3680,74,-0.0969,2.76,3.24,72.645,68.370
2.4000,75,-0.0969,2.76,3.24,72.647,68.372
2.4320,76,-0.0969,2.76,3.24,72.649,68.374
2.4640,77,-0.0969,2.76,3.24,72.651,68.376
2.4960,78,-0.0969,2.76,3.24,72.652,68.378
2.5280,79,-0.0969,2.76,3.24,72.654,68.380
2.5600,80,-0.0953,2.76,3.24,72.656,68.382
2.5920,81,-0.0953,2.76,3.24,72.658,68.384
2.6240,82,-0.0922,2.77,3.23,72.659,68.386
2.6560,83,-0.0891,2.78,3.22,72.661,68.388
2.6880,84,-0.0859,2.79,3.21,72.663,68.390
2.7200,85,-0.0859,2.79,3.21,72.665,68.392
2.7520,86,-0.0875,2.78,3.22,72.667,68.394
2.7840,87,-0.0891,2.78,3.22,72.668,68.397
2.8160,88,-0.0891,2.78,3.22,72.670,68.399
2.8480,89,-0.0922,2.77,3.23,72.672,68.401
2.8800,90,-0.0953,2.76,3.24,72.674,68.403
2.9120,91,-0.0984,2.75,3.25,72.675,68.405
2.9440,92,-0.1000,2.75,3.25,72.677,68.407
2.9760,93,-0.1047,2.74,3.26,72.679,68.409
